0.0017;0.0068;0.0725;0.2984;2.5712;8.564;11.9486;0.0;2.3649;2156.7623;179060.3;179059.0;
0.0141;0.0375;0.2757;0.7338;6.451;18.7316;26.7294;0.0;13.9042;2156.4812;398958.1;398956.49;
0.1036;0.0911;1.1423;1.0041;12.2459;32.7148;47.389;0.0;41.526;2158.7467;706311.5;706306.26;
0.0816;0.1656;1.2999;2.6398;11.2492;48.7337;65.5642;0.0;87.6358;2155.7554;976715.6;976626.74;
0.3542;0.2224;6.4224;4.1219;13.596;48.4926;66.8964;0.0;92.8829;1839.0541;997614.5;997524.9;
0.3012;7.5576;3.8307;96.7513;26.0876;43.9811;70.379;0.0;100.0;2125.573;1036346.4815;1026436.7407;
0.3548;0.2235;6.4348;4.1439;13.5799;48.4918;66.876;0.0;92.8986;1838.7528;997415.55;997326.37;
0.0877;0.2137;1.7101;4.1774;9.6345;50.7927;66.8099;0.0;91.6545;1837.4023;995580.75;995479.71;
0.0563;0.2212;1.096;4.3076;9.3779;51.1755;67.0716;0.0;92.3038;2071.5324;959214.7727;959059.6364;
0.0777;0.2161;1.5139;4.2187;9.5527;50.9147;66.8966;0.0;91.8061;1839.9834;996847.25;996737.66;
0.6958;0.2256;13.0031;4.4029;14.1596;48.0909;66.8339;0.0;93.4969;1837.1855;996598.5;996441.37;
0.3534;0.2238;6.4085;4.147;13.5806;48.5011;66.8895;0.0;92.9427;1839.0878;997591.65;997467.7;
0.3526;0.2247;6.3949;4.1648;13.5621;48.5114;66.888;0.0;92.9729;1839.0892;997571.75;997466.86;
0.3503;2.2846;6.3181;40.5238;13.7054;48.8938;67.4009;0.0;94.0948;1880.5939;1001332.6891;999662.5546;
0.0801;0.2808;1.4398;5.0526;11.8899;51.2535;68.932;0.0;97.7121;2157.0568;1027744.85;1027362.31;
0.3537;0.2241;6.4136;4.1546;13.5712;48.5004;66.8827;0.0;92.9543;1838.9398;997476.55;997373.95;
0.0799;0.281;1.4365;5.0558;11.8711;51.2708;68.9382;0.0;97.5835;2156.8225;1027844.05;1027508.27;
9.0E-4;0.0032;0.0541;0.1836;1.9473;6.4232;8.9753;0.0;1.2176;2157.5424;134826.0;134824.0;
0.001;0.003;0.0564;0.1775;1.9667;6.4131;8.9773;0.0;1.1966;2154.8087;134856.0;134855.0;
0.0016;0.0068;0.0717;0.2993;2.5734;8.5668;11.9537;0.0;2.3468;2157.1228;179135.0;179134.0;
0.0017;0.0068;0.0742;0.296;2.5781;8.5546;11.9429;0.0;2.3225;2156.4874;178974.0;178973.0;
0.0798;0.2814;1.4348;5.0624;11.8752;51.2732;68.944;0.0;97.6582;2156.086;1027929.85;1027590.83;
2.6112;3.9459;32.4084;51.4162;30.745;39.2866;68.1671;0.0;95.2725;1354.1907;730531.6667;727110.0;
0.3491;0.225;6.3284;4.168;13.5489;48.5447;66.9187;0.0;92.8745;1839.9019;998012.05;997917.35;
0.3556;0.2236;6.4487;4.1452;13.5882;48.4799;66.8698;0.0;92.865;1838.5509;997300.835;997197.758;
0.3565;0.2233;6.4659;4.1409;13.594;48.4709;66.8628;0.0;92.845;1838.3799;997203.165;997099.238;
0.2758;0.2399;4.9967;4.4035;13.0707;49.3107;67.4805;0.0;94.3813;1545.8704;839311.6667;839131.6667;
0.3508;0.2234;6.3588;4.1393;13.6166;48.506;66.9237;0.0;92.8037;1839.9346;998057.0;997842.5;
0.3558;0.2234;6.4537;4.1416;13.5898;48.4811;66.8686;0.0;92.9145;1835.3191;995537.3575;995431.8377;
0.3564;0.2232;6.4625;4.1386;13.5932;48.4747;66.867;0.0;92.8651;1838.4951;997263.57;997160.058;
9.0E-4;0.0032;0.053;0.1844;1.9392;6.4301;8.9775;0.0;1.2328;2155.3144;134859.0;134859.0;
9.0E-4;0.0032;0.0525;0.1843;1.9489;6.4243;8.978;0.0;1.2689;2157.3959;134865.0;134863.0;
9.0E-4;0.0031;0.0536;0.1822;1.9499;6.4258;8.9803;0.0;1.2298;2157.0196;134900.5;134899.2;
9.0E-4;0.0031;0.0536;0.1825;1.9493;6.4261;8.9803;0.0;1.2321;2157.1879;134900.1818;134898.9091;
0.1571;0.4087;4.0127;10.4723;16.1313;21.9648;36.8477;0.0;30.932;2156.3706;559150.0;559122.9;
0.1323;0.1121;3.0731;2.5978;17.0162;23.5447;25.4832;14.516;36.9666;2156.9883;596368.5;596333.2;
0.0026;0.0116;0.0917;0.4083;3.2214;10.6705;14.9004;0.0;3.8294;2157.4063;222973.0;222972.0;
0.0026;0.0116;0.0912;0.4069;3.2212;10.6804;14.912;0.0;3.8666;2157.1758;223146.8;223145.8;
3.0E-4;0.001;0.0291;0.0835;1.3116;4.2814;5.9927;0.0;0.4464;2158.9648;90454.0;90450.0;
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1352;1300.0;0.0;
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0296;1300.0;0.0;
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0389;1300.0;0.0;
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0333;1300.0;0.0;
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0111;1300.0;0.0;
0.0159;0.0;1.25;0.0;0.0;0.0;0.0;0.0;100.0;1.9426;1360.0;524.0;
0.0026;6.0E-4;0.1541;0.0374;2.0667;6.3542;8.3282;0.6515;1.2839;2132.981;133245.7143;133244.2857;
